open,high,low,close,volume,date
5435.763333333333,5488.13,5402.446666666667,5438.093333333333,2063880000.0,2007-01-03
5437.86,5464.253333333334,5408.68,5450.82,1789243333.3333333,2007-01-04
5447.82,5447.846666666666,5397.25,5413.990000000001,1738326666.6666667,2007-01-05
5412.173333333333,5435.51,5387.490000000001,5424.843333333333,1630820000.0,2007-01-08
5426.956666666667,5443.97,5399.383333333333,5424.18,1802576666.6666667,2007-01-09
5419.913333333333,5442.9800000000005,5396.283333333333,5438.78,1755146666.6666667,2007-01-10
5440.8966666666665,5487.013333333333,5440.3966666666665,5474.55,1851953333.3333333,2007-01-11
5473.400000000001,5498.363333333334,5464.593333333333,5496.543333333334,1706273333.3333333,2007-01-12
5497.043333333334,5509.313333333333,5487.156666666667,5504.09,1660600000.0,2007-01-16
5497.04,5515.400000000001,5484.983333333333,5495.73,1745623333.3333333,2007-01-17
5493.66,5506.889999999999,5469.886666666666,5479.170000000001,1843100000.0,2007-01-18
5477.303333333333,5490.733333333334,5461.473333333332,5482.446666666667,1700950000.0,2007-01-19
5483.5,5486.21,5431.403333333333,5443.7266666666665,1578126666.6666667,2007-01-22
5443.006666666667,5477.53,5438.663333333334,5464.399999999999,1737643333.3333333,2007-01-23
5468.446666666667,5509.956666666668,5466.62,5509.393333333333,1734046666.6666667,2007-01-24
5510.386666666666,5511.283333333333,5446.746666666667,5453.566666666667,1824130000.0,2007-01-25
5456.093333333333,5469.933333333333,5422.303333333333,5448.2300000000005,1646906666.6666667,2007-01-26
5447.923333333333,5473.823333333334,5443.753333333333,5450.830000000001,1626796666.6666667,2007-01-29
5453.166666666667,5472.756666666667,5439.163333333333,5466.923333333333,1573296666.6666667,2007-01-30
5464.003333333334,5523.276666666668,5454.580000000001,5507.953333333334,1807270000.0,2007-01-31
5509.7266666666665,5536.863333333334,5504.23,5529.333333333333,1773353333.3333333,2007-02-01
5531.323333333334,5537.223333333332,5516.466666666667,5525.920000000001,1549943333.3333333,2007-02-02
5525.59,5537.386666666666,5513.296666666666,5526.443333333334,1506293333.3333333,2007-02-05
5528.139999999999,5536.333333333333,5510.646666666667,5528.599999999999,1641143333.3333333,2007-02-06
5529.333333333333,5549.513333333333,5517.503333333334,5535.796666666666,1670416666.6666667,2007-02-07
5533.386666666666,5536.23,5498.793333333334,5524.87,1668626666.6666667,2007-02-08
5525.9766666666665,5541.55,5477.326666666667,5492.903333333333,1786243333.3333333,2007-02-09
5492.913333333334,5502.416666666667,5470.776666666666,5478.766666666666,1470303333.3333333,2007-02-12
5479.22,5522.3966666666665,5478.193333333334,5519.663333333334,1559493333.3333333,2007-02-13
5521.080000000001,5570.52,5521.053333333333,5561.846666666667,1694583333.3333333,2007-02-14
5562.2300000000005,5578.456666666668,5555.806666666666,5572.973333333332,1541290000.0,2007-02-15
5570.793333333332,5574.62,5559.416666666667,5573.139999999999,1510146666.6666667,2007-02-16
5571.376666666667,5590.2266666666665,5544.599999999999,5586.453333333334,1569736666.6666667,2007-02-20
5582.003333333334,5586.963333333333,5553.383333333334,5571.486666666667,1610966666.6666667,2007-02-21
5572.14,5585.573333333334,5536.7266666666665,5555.78,1336196666.6666667,2007-02-22
5552.88,5553.73,5527.776666666668,5537.923333333333,1602533333.3333333,2007-02-23
