Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,24.81024742126465,25.06641387939453,24.648956298828125,24.943073272705078,12.392548561096191,42839619
2007-01-04,25.02846336364746,25.208728790283203,24.943073272705078,25.02846336364746,12.434972763061523,33987495
2007-01-05,25.18975257873535,25.265655517578125,24.829221725463867,24.95256233215332,12.397269248962402,33046589
2007-01-08,24.943073272705078,25.06641387939453,24.563566207885742,24.819734573364258,12.33127498626709,45557569
2007-01-09,24.8956356048584,24.99051284790039,24.705881118774414,24.829221725463867,12.335983276367188,32994627
2007-01-10,24.762807846069336,24.91461181640625,24.667932510375977,24.857685089111328,12.350127220153809,36412854
2007-01-11,24.459203720092773,25.15180206298828,24.459203720092773,25.1043643951416,12.47268009185791,39253700
2007-01-12,25.02846336364746,25.436433792114258,25.02846336364746,25.275142669677734,12.557535171508789,31409095
2007-01-16,25.275142669677734,25.445920944213867,25.15180206298828,25.398481369018555,12.618813514709473,32868041
2007-01-17,25.332067489624023,25.63567352294922,25.303604125976562,25.5123348236084,12.675378799438477,38376035
2007-01-18,25.464895248413086,25.872865676879883,25.464895248413086,25.77798843383789,12.807364463806152,40662055
2007-01-19,25.82542610168457,26.005693435668945,25.73055076599121,25.82542610168457,12.830931663513184,35589364
2007-01-22,25.834915161132812,25.90132713317871,25.294118881225586,25.569259643554688,12.703659057617188,50558483
2007-01-23,25.256166458129883,25.303604125976562,24.686906814575195,25.01897430419922,12.430262565612793,54172227
2007-01-24,24.99051284790039,25.464895248413086,24.92409896850586,25.445920944213867,12.642382621765137,39986020
2007-01-25,25.445920944213867,25.5123348236084,24.943073272705078,25.00948715209961,12.42553997039795,36973477
2007-01-26,24.98102569580078,25.0,24.667932510375977,24.943073272705078,12.392548561096191,34851669
2007-01-29,24.8956356048584,25.04743766784668,24.667932510375977,24.724857330322266,12.284133911132812,35647123
2007-01-30,24.686906814575195,24.819734573364258,24.667932510375977,24.762807846069336,12.302990913391113,27826232
2007-01-31,24.677419662475586,24.96204948425293,24.667932510375977,24.8956356048584,12.36898136138916,36555566
2007-02-01,25.03795051574707,25.322580337524414,24.96204948425293,25.256166458129883,12.548101425170898,32373505
2007-02-02,25.303604125976562,25.493358612060547,25.246679306030273,25.426944732666016,12.632956504821777,37234763
2007-02-05,25.360530853271484,25.616697311401367,25.294118881225586,25.502845764160156,12.670661926269531,40536102
2007-02-06,25.398481369018555,25.559772491455078,25.351043701171875,25.455408096313477,12.647096633911133,25253418
2007-02-07,25.199241638183594,25.313093185424805,24.96204948425293,25.16128921508789,12.637560844421387,28351862
2007-02-08,25.0,25.16128921508789,24.98102569580078,25.08538818359375,12.599444389343262,22505851
2007-02-09,25.056926727294922,25.18975257873535,24.99051284790039,25.02846336364746,12.57084846496582,25253102
2007-02-12,25.06641387939453,25.11385154724121,24.800758361816406,24.876659393310547,12.494609832763672,23095248
2007-02-13,24.876659393310547,25.056926727294922,24.867172241210938,25.03795051574707,12.575611114501953,25236976
2007-02-14,24.97153663635254,25.313093185424805,24.943073272705078,25.218215942382812,12.666157722473145,31113553
2007-02-15,25.218215942382812,25.218215942382812,25.0,25.170778274536133,12.642332077026367,31058850
